plithos stoixeion katanomis,xronos katanomis,ipodianisma1,ipodiastima2,ipodiastima3,Kurtosis First Subarray,Kurtosis Second Subarray,Kurtosis Third Subarray,Skewness First Subarray,Skewness Second Subarray,Skewness Third Subarray
25000,5.6658360958099365,986,635,142,-1.2000024686405506,-1.200005952026665,-1.2001190299062638,0.0,0.0,0.0
25000,5.58904242515564,15045,12588,1653,-1.200000010602954,-1.200000024217467,nan,0.0,0.0,nan
25000,5.7107155323028564,3590,1074,313,-1.200000186218309,-1.2000020806692822,-1.2000244977951984,0.0,0.0,0.0
25000,5.573085308074951,21010,11091,5025,-1.2000000054369975,-1.2000001507528317,nan,0.0,0.0,nan
25000,5.612977743148804,9416,7385,4250,-1.2000000270693825,-1.2000000440058336,-1.2000001328719796,0.0,0.0,0.0
25000,5.531195402145386,15326,9491,8446,-1.2000000102177109,-1.2000000266432562,-1.200071667462972,0.0,0.0,0.0
25000,5.614973068237305,23008,3235,2848,-1.2000000045337078,-1.2000006048291072,nan,0.0,0.0,nan
25000,5.556130886077881,15442,13971,9587,-1.200000010064777,-1.2000000262710355,nan,0.0,0.0,nan
25000,5.703369140625,3210,1724,1388,-1.2000002329170167,-1.2000008074894648,-1.2000012457547016,0.0,0.0,0.0
25000,5.613974571228027,18851,18030,15939,-1.200000006753711,-1.2000000634749353,nan,0.0,0.0,nan
25000,5.709718465805054,7058,4838,2699,-1.2000000481779092,-1.2000001025367464,-1.200000329462153,0.0,0.0,0.0
25000,5.582060813903809,10299,9343,5105,-1.2000000226266951,-1.2000000274940392,-1.2000000920915463,0.0,0.0,0.0
25000,5.69874906539917,13332,9485,8804,-1.2000000135027002,-1.2000000266769744,-1.2000005036210353,0.0,0.0,0.0
25000,5.66384220123291,6964,2689,816,-1.2000000494872967,-1.2000003319171535,-1.2000036043883426,0.0,0.0,0.0
25000,5.5631115436553955,20289,16367,8868,-1.2000000058302869,-1.2000001081396732,nan,0.0,0.0,nan
25000,5.645890712738037,14252,8497,3433,-1.2000000118157046,-1.200000033241454,-1.2000004736530492,0.0,0.0,0.0
25000,5.604999542236328,5979,4484,1290,-1.2000000671357964,-1.2000001193658392,-1.2000014422218868,0.0,0.0,0.0
25000,5.560120105743408,4183,429,17,-1.200000137162546,-1.200013040643338,-1.2083333333333333,0.0,0.0,0.0
