depth,ipodiastima,sorting time
2,3847,16.073023080825806
3,2886,16.073023080825806
1,31990,16.453007698059082
2,23370,16.453007698059082
3,12232,16.453007698059082
1,108532,62.796062707901
2,64388,62.796062707901
3,35942,62.796062707901
1,100000,2.3637073040008545
2,50000,2.3637073040008545
3,25000,2.3637073040008545
1,100000,2.3128180503845215
2,50000,2.3128180503845215
3,25000,2.3128180503845215
1,100000,2.3497440814971924
2,50000,2.3497440814971924
3,25000,2.3497440814971924
1,99894,2.0574936866760254
2,49816,2.0574936866760254
3,24812,2.0574936866760254
1,99894,1.9817299842834473
2,49816,1.9817299842834473
3,24812,1.9817299842834473
1,99894,2.0864405632019043
2,49816,2.0864405632019043
3,24812,2.0864405632019043
1,378,0.0010170936584472656
2,268,0.0010170936584472656
3,78,0.0010170936584472656
1,378,0.0009744167327880859
2,268,0.0009744167327880859
3,78,0.0009744167327880859
1,378,0.00096893310546875
2,268,0.00096893310546875
3,78,0.00096893310546875
1,378,0.0009980201721191406
2,268,0.0009980201721191406
3,78,0.0009980201721191406
1,378,0.0009984970092773438
2,268,0.0009984970092773438
3,78,0.0009984970092773438
1,378,0.0009975433349609375
2,268,0.0009975433349609375
3,78,0.0009975433349609375
1,378,0.0009775161743164062
2,268,0.0009775161743164062
3,78,0.0009775161743164062
1,378,0.001994609832763672
2,268,0.001994609832763672
3,78,0.001994609832763672
1,378,0.0010004043579101562
2,268,0.0010004043579101562
3,78,0.0010004043579101562
1,378,0.0010173320770263672
2,268,0.0010173320770263672
3,78,0.0010173320770263672
1,378,0.0010194778442382812
2,268,0.0010194778442382812
3,78,0.0010194778442382812
1,378,0.0010051727294921875
2,268,0.0010051727294921875
3,78,0.0010051727294921875
1,378,0.001993894577026367
2,268,0.001993894577026367
3,78,0.001993894577026367
1,378,0.0009753704071044922
2,268,0.0009753704071044922
3,78,0.0009753704071044922
1,378,0.0009744167327880859
2,268,0.0009744167327880859
3,78,0.0009744167327880859
1,378,0.0009660720825195312
2,268,0.0009660720825195312
3,78,0.0009660720825195312
1,378,0.000997781753540039
2,268,0.000997781753540039
3,78,0.000997781753540039
1,646,0.003990650177001953
2,268,0.003990650177001953
3,190,0.003990650177001953
1,378,0.002991199493408203
2,268,0.002991199493408203
3,190,0.002991199493408203
1,378,0.0030035972595214844
2,268,0.0030035972595214844
3,78,0.0030035972595214844
1,378,0.0039691925048828125
2,268,0.0039691925048828125
3,190,0.0039691925048828125
1,378,0.0049877166748046875
