"[512, 207, 191, 179]",512,0.1715404987335205
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 341, 56, 36]",512,0.182511568069458
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 409, 148, 17]",512,0.1765282154083252
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 90, 16, 8]",512,0.18251276016235352
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 292, 248, 127]",512,0.17704486846923828
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 419, 62, 59]",512,0.22440028190612793
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 495, 156, 32]",512,0.27426671981811523
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 420, 154, 6]",512,0.14162039756774902
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 254, 21, 2]",512,0.16156673431396484
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 419, 170, 97]",512,0.3366086483001709
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 188, 81, 17]",512,0.19946551322937012
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 402, 32, 10]",512,0.18288373947143555
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 283, 268, 220]",512,0.17553091049194336
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 228, 50, 34]",512,0.14760589599609375
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 33, 16, 9]",512,0.18051648139953613
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 102, 50, 30]",512,0.18051671981811523
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 510, 157, 75]",512,0.1771869659423828
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 336, 34, 3]",512,0.1855027675628662
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 40, 24, 3]",512,0.17633318901062012
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 334, 51, 23]",512,0.1790330410003662
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 62, 41, 2]",512,0.1795196533203125
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 229, 138, 9]",512,0.17253899574279785
ipodiastimata,plithos stoixeion katanomis,xronos katanomis
"[512, 474, 40, 17]",512,0.17453336715698242
